,date,favorite_count,followers_count,friends_count,full_text,retweet_count,screen_name,tweet_id,user_id,user_mentions,tweet_polarity,Polarity,Subjectivity
0,2019-06-04 23:53:34,0,2882,43,Pathetic services zomato n restaurant Noida I made order occasion delivered incomple…,0,Krishna47336605,1136058441967910912,866987401276776448,['kushagra_tpt'],"Sentiment(polarity=-1.0, subjectivity=1.0)",-1.0,1.0
1,2019-06-04 23:41:15,0,853,125,My order supposed reach :00 whereas 's already :40 I still wondering,0,JYRajput,1136055345850277889,191252401,['zomatocare'],"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
2,2019-06-04 23:37:00,0,853,125,My order number,0,JYRajput,1136054272997638146,191252401,['zomatocare'],"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
3,2019-06-04 23:35:20,0,146,332,How paying salaries time,0,dpendra_chauhan,1136053855739768832,458499383,['ZomatoIN'],"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
4,2019-06-04 23:34:47,0,50,222,may water definitely nice,0,andynaithani,1136053717784977410,2389138466,['ZomatoIN'],"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
5,2019-06-04 23:25:32,0,199,1176,I dont know ma'am Bade log 🤣 bahut zyada followers wale celeb read ignore Kaha …,0,Mungerilal16,1136051390264905728,1089929477461688326,"['_AkshayDubey', 'sonalkalra', 'ZomatoIN']","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
6,2019-06-04 23:21:30,0,17,258,may water definitely nice,0,madvinshbk,1136050372080939008,824827290,['ZomatoIN'],"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
7,2019-06-04 23:19:34,0,2392,398,may water definitely nice,0,iamankurrrrrrr,1136049888288919552,478628134,['ZomatoIN'],"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
8,2019-06-04 23:15:22,1,48,359,Will definitely want guys never delivered first floor I stay,0,kanni_pramod,1136048828270780417,811186146776449024,['ZomatoIN'],"Sentiment(polarity=0.125, subjectivity=0.41666666666666663)",0.125,0.41666666666666663
9,2019-06-04 23:13:01,0,48,359,may water definitely nice,0,kanni_pramod,1136048238572650496,811186146776449024,['ZomatoIN'],"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
10,2019-06-04 23:08:12,0,51,330,may water definitely nice,0,dilipmagan,1136047028373458944,124547883,['ZomatoIN'],"Sentiment(polarity=0.6, subjectivity=1.0)",0.6,1.0
